BPF Resource Thief Detector — Session Report
Generated: 2026-06-25 03:39:16.253215
============================================================

[INFO] 03:38:59 | PID 14195 (sh) | New process → /usr/bin/which
[INFO] 03:38:59 | PID 14197 (sh) | New process → /usr/bin/ps
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/self/status
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/self/status
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/self
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/14197
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/self
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/14197
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/sys/kernel/pid_max
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/1
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/2
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/3
[ALERT] 03:38:59 | PID 14197 (ps) | High-speed file access: 51 files/sec  ← POSSIBLE EXFILTRATION
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/4
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/5
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/6
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/7
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/8
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/10
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/11
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/12
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/13
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/14
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/15
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/16
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/17
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/18
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/19
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/20
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/21
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/22
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/23
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/24
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/25
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/26
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/27
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/28
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/29
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/30
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/31
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/33
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/34
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/35
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/36
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/37
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/39
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/40
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/41
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/42
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/43
[ALERT] 03:38:59 | PID 14197 (ps) | Accessed sensitive file → /proc/45
