BPF Resource Thief Detector — Session Report
Generated : 2026-08-23 20:48:59.850662
Events    : 197
============================================================

[ALERT] 20:48:13 | PID 58228 (ML-Engine) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:14 | PID 58235 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:14 | PID 58237 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:14 | PID 58237 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:14 | PID 58239 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:14 | PID 58240 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:14 | PID 58241 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:14 | PID 58242 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:14 | PID 58243 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:14 | PID 58244 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[ALERT] 20:48:14 | PID 7557 (ThreadPoolForeg) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:15 | PID 58278 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:15 | PID 58280 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[ALERT] 20:48:15 | PID 58279 (git) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:15 | PID 58282 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:15 | PID 58284 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:15 | PID 58289 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:15 | PID 58291 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:15 | PID 58291 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:15 | PID 58293 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:15 | PID 58295 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:15 | PID 58294 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:15 | PID 58296 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:15 | PID 58297 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:15 | PID 58298 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:15 | PID 58299 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:16 | PID 58302 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:16 | PID 58303 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:16 | PID 58305 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:16 | PID 58307 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:16 | PID 58309 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[ALERT] 20:48:17 | PID 3868 (pipewire-pulse) | Sensitive file accessed -> /etc/passwd
[ALERT] 20:48:17 | PID 3868 (pipewire-pulse) | Sensitive file accessed -> /etc/passwd
[ALERT] 20:48:17 | PID 1456 (polkitd) | Sensitive file accessed -> /etc/passwd
[ALERT] 20:48:17 | PID 1456 (polkitd) | Sensitive file accessed -> /etc/passwd
[ALERT] 20:48:17 | PID 1456 (polkitd) | Sensitive file accessed -> /etc/passwd
[INFO] 20:48:20 | PID 58327 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:20 | PID 58329 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:20 | PID 58329 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:20 | PID 58332 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:20 | PID 58333 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:20 | PID 58331 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:20 | PID 58334 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:20 | PID 58335 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:20 | PID 58336 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:20 | PID 58337 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:21 | PID 58338 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:21 | PID 58339 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:21 | PID 58341 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:21 | PID 58343 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:21 | PID 58345 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:25 | PID 58348 (sh) | New process spawned -> /usr/bin/which
